id,date,restaurant_id,*,**,***
6306,2014-04-11,8x3zrY3k,1,0,0
28985,2013-11-29,lnOR16oN,12,0,2
15647,2007-09-13,xWoYqvoK,16,0,6
11911,2008-11-04,XJ3rYpER,5,0,2
30215,2010-09-03,xWoY4d3K,5,2,2
2966,2010-06-11,ZBEnpYoY,2,0,2
5054,2011-08-08,VpoGNA3r,11,2,1
28562,2009-11-30,N6OkXmEx,9,1,0
19536,2012-01-27,wmo74GOq,4,1,2
29513,2013-03-06,JGoNNaoL,18,1,2
10550,2013-05-24,V43016oB,12,1,1
19524,2009-02-03,0ZEDV4oD,6,0,1
11438,2013-06-03,geEVDeoz,1,0,0
18284,2008-06-11,we39Rvok,15,1,2
25275,2013-07-03,wmo749Oq,5,0,2
27975,2007-12-18,7RO55dOq,7,3,5
3042,2010-06-08,WeEey6Ea,3,0,0
6351,2014-02-19,ekE4K6O2,0,0,0
30094,2014-06-30,rNo60E6x,6,0,3
16842,2012-08-22,Y1Em57Ew,3,0,0
5243,2013-06-20,N6OkQW3x,2,0,0
11708,2012-12-30,9JoPge38,0,0,0
26610,2009-07-08,NbE1AyEJ,21,4,2
3002,2009-12-16,rNo69l36,7,1,1
105,2012-06-18,N6OkGVOx,7,3,1
30695,2009-04-28,VpoGz73r,7,2,0
15731,2013-10-10,8KoAL536,2,0,0
3308,2008-05-21,B1oXqYOV,6,0,2
26755,2009-02-11,1m3Mep3B,8,1,0
24774,2008-05-28,Pk3we2Od,18,0,4
29604,2009-01-08,ydEjXDoW,3,0,1
21299,2008-05-30,Pk3w8Vod,2,0,3
12906,2009-12-15,xWoYB9OK,6,0,0
25522,2008-02-07,1m3M7yOB,12,0,3
1411,2010-09-17,KAoKrB3g,1,1,0
1325,2009-10-29,XJ3rj83R,5,0,0
9704,2009-07-31,8xExeV30,0,0,0
6687,2008-05-14,N6OkBmox,2,0,0
13576,2014-09-19,ekE4DKE2,12,1,2
31651,2009-05-14,8xExj9o0,3,0,1
11957,2011-04-06,njoZJbor,3,0,2
13007,2009-07-10,NbE18OJ2,8,0,1
30503,2014-10-21,we39193k,7,2,1
40,2007-06-20,V430J2OB,8,2,0
27886,2013-08-08,NbE1RY3J,5,1,0
15141,2008-12-26,8gOqZeE2,5,0,2
3664,2010-11-05,dj3dWAE9,6,0,0
29148,2009-05-08,Pk3wRqEd,2,0,0
11041,2009-12-22,B1oXWb3V,1,0,0
15559,2008-11-20,6K3lj6Oz,3,0,0
19514,2007-06-21,wmo7R93q,2,0,0
24597,2012-12-30,8x3z99Ek,0,0,0
24058,2013-01-18,ekE4kYO2,0,0,0
8058,2009-03-13,v5oJP1EB,4,1,0
16747,2011-02-03,wmo76P3q,7,1,1
7284,2014-08-19,dj3dPN39,1,1,0
1967,2012-10-12,v5oJz1oB,4,1,0
651,2011-03-28,VpoGBA3r,16,2,4
30731,2015-02-11,Pk3wz5Ed,12,1,2
5335,2014-01-28,XJ3r6m3R,3,1,3
26942,2009-07-23,8x3zx7Ok,5,0,0
29552,2011-04-07,wmo7QQEq,2,0,0
3591,2007-12-05,8gOqR0E2,16,1,4
8630,2008-04-25,VpoGawEr,3,1,0
6767,2008-11-06,6VOp8lOL,2,0,0
29238,2014-05-20,we39lDEk,1,1,4
12867,2009-07-27,B1oXBmEV,3,0,0
14323,2015-02-20,wmo7Wjoq,2,0,0
11130,2009-07-08,B1oXR1EV,2,0,0
15456,2012-04-19,ZBEnpYoY,5,1,2
31891,2008-02-22,wmo7pGOq,0,0,0
24473,2011-11-21,ZBEnDYoY,8,0,1
28593,2008-05-27,1JEbVeER,6,0,1
10638,2008-12-16,9JoPv5E8,0,0,0
7566,2011-03-28,6VOpaBEL,9,2,1
16892,2013-09-25,geEV2dEz,7,0,1
29103,2008-02-27,6K3lJeOz,4,0,2
31560,2011-11-17,WwOaVdEB,3,0,1
28268,2012-12-30,xWoY7dEK,0,0,0
17381,2010-03-11,Y1EmQ7Ew,5,0,1
25804,2009-01-12,m0oWBg3G,5,0,3
24435,2013-07-12,NbE1kmoJ,4,1,1
15123,2008-07-31,8gOqg532,12,1,7
24838,2008-04-17,v5oJz1oB,2,1,0
1970,2010-04-08,nkOvvaOB,1,0,0
15084,2007-08-30,6Wo27GO9,0,0,0
18207,2012-09-12,ekE4vNo2,2,1,0
1950,2009-06-22,B1oXl1oV,2,0,0
20622,2008-07-30,dj3d9Ao9,8,1,0
28991,2013-04-29,dj3daao9,2,0,0
7666,2008-10-29,9JoPwj38,2,2,0
17361,2008-12-22,8x3z8ROk,4,2,1
1826,2007-01-16,qN3gYnOA,0,0,0
26838,2010-01-29,Y1EmZ93w,0,0,0
14191,2013-10-18,9JoP60E8,5,0,1
31244,2009-03-30,8x3z1NEk,5,1,2
8311,2009-02-09,v5oJ4AEB,4,0,2
3024,2013-01-02,Pk3wNKEd,24,0,1
7809,2009-04-22,ZBEnRaEY,8,0,0
27829,2009-11-03,VpoGVP3r,8,0,3
19996,2008-02-05,qN3g1QOA,5,1,2
28601,2007-09-19,1JEb4JoR,8,0,0
18193,2008-05-06,geEV7V3z,4,1,3
1732,2009-09-02,B1oXXboV,1,0,0
7383,2010-10-05,JGoNm83L,4,1,0
3643,2012-09-27,6Wo2r6o9,5,0,0
4725,2012-12-30,Y1EmK7ow,0,0,0
3280,2007-09-24,WwOaLVoB,12,1,3
25780,2009-04-09,V430423B,4,1,0
21944,2012-07-18,XJ3rWYoR,6,1,4
8846,2009-06-30,rNo6yJ36,4,0,0
3414,2011-06-28,1JEbr1ER,5,1,0
25396,2014-06-19,1JEbd4oR,11,1,3
16285,2009-08-28,dj3dgrE9,9,1,0
25603,2007-06-04,v5oJ9J3B,6,0,0
18964,2008-08-29,qN3gmJOA,2,1,0
10458,2014-02-03,Y1Emn73w,3,1,1
826,2012-12-30,8xExNno0,0,0,0
19720,2014-04-28,6K3lKeEz,5,0,1
16450,2007-10-26,dj3dDj39,1,0,0
22348,2010-10-07,nkOvKLEB,7,2,4
28647,2010-07-01,p038KvEm,3,0,0
19741,2011-06-17,B1oXaYOV,7,0,3
7197,2008-12-23,njoZlyEr,4,0,0
5933,2015-01-21,geEVDeoz,7,1,2
22847,2009-07-21,WwOaKB3B,7,1,2
29898,2012-12-12,ZBEn6pEY,6,1,0
22913,2014-12-11,rJoQwlEV,3,0,0
8814,2011-11-21,6VOp5QEL,9,1,1
11344,2008-09-22,VpoGz73r,0,0,0
4636,2008-09-02,geEVVdEz,5,0,0
22665,2008-05-22,WeEe0dOa,4,0,3
25731,2012-09-20,6VOpwdoL,0,0,1
14651,2010-02-26,6VOpbq3L,0,0,0
5027,2007-05-30,9JoPbdE8,18,2,4
30573,2015-02-06,ZBEnB2EY,8,1,4
8698,2011-10-12,9JoPY7O8,4,1,3
14746,2014-10-06,njoZw1Or,6,0,0
31883,2013-12-30,B1oXqQOV,0,0,0
23498,2012-07-10,6Wo2d8E9,0,0,0
6942,2009-11-13,8xExLBE0,4,0,0
7304,2010-01-22,6VOpZ53L,7,1,0
11047,2007-08-09,lnORjnON,0,0,0
17221,2012-02-06,ekE4xKE2,4,0,2
1101,2009-08-06,Y1EmX9Ow,3,0,0
22342,2012-04-06,0ZED4ED9,2,0,0
6696,2013-01-29,KAoKdPOg,2,0,2
22683,2007-07-06,VpoGwQor,5,1,1
2706,2012-04-19,1m3MJ6oB,0,0,0
5833,2008-03-24,ZBEnkv3Y,9,0,2
18700,2009-10-08,8x3zVQ3k,2,0,0
27323,2015-02-25,VpoGrg3r,4,0,1
27566,2012-12-30,we39JNok,0,0,0
21695,2012-03-12,ydEjjPEW,5,0,2
14105,2012-11-06,1m3MKyOB,6,0,3
10469,2010-10-19,WeEe4MOa,0,0,0
26894,2008-05-12,eVOB8w3j,2,0,0
7092,2010-08-20,ZBEn9vOY,2,0,0
9592,2014-10-07,qN3gW13A,1,1,1
2967,2013-01-17,njoZAb3r,0,0,1
19176,2012-10-15,Y1EmwVow,0,0,1
7362,2012-10-23,6Wo2P8E9,7,0,0
25485,2013-12-30,njoZZBor,0,0,0
12028,2010-01-22,8x3zx7Ok,2,0,3
1329,2008-09-29,0ZEDNpoD,6,1,0
11065,2011-02-08,lnOR5eoN,0,0,0
20746,2010-10-08,1m3MNboB,0,0,0
23204,2009-03-06,dj3dkXE9,0,0,1
27534,2012-10-10,xWoY2jOK,8,0,1
24809,2009-08-21,V430423B,3,0,0
4338,2012-12-12,0j3L9xor,1,1,0
12401,2013-07-10,rJoQxr3V,7,0,3
7165,2010-02-04,WwOaJNEB,7,0,0
10516,2013-06-05,8xExw6O0,5,0,0
10683,2010-01-29,KAoK58Eg,7,0,1
723,2011-11-21,qN3gW13A,5,0,0
6037,2008-09-19,WeEeQWEa,9,0,0
7497,2012-01-09,7RO5wd3q,9,0,0
17700,2010-11-23,ekE476O2,2,1,0
30694,2009-02-23,B1oX0moV,0,0,0
15701,2013-10-10,m0oWLPOG,19,2,2
25036,2012-09-24,6K3lg6Ez,0,0,2
14159,2012-10-26,VpoGJQ3r,9,2,2
27255,2007-10-12,p038rzOm,0,0,0
9340,2007-12-13,ydEjdVoW,4,0,0
27162,2014-07-11,Y1EmQ7Ew,8,1,1
28266,2011-02-03,Y1Em5WEw,0,0,1
28932,2011-07-27,njoZ4AEr,0,0,0
28158,2009-02-27,Y1EmaVEw,4,0,0
24426,2009-12-09,njoZjQor,1,0,0
30751,2012-03-28,xWoYPr3K,16,1,5
25506,2009-03-23,0j3LkDEr,5,0,0
13467,2014-12-26,NbE18OJ2,3,1,1
20244,2008-05-09,WeEe0dOa,4,0,3
29211,2009-04-06,0ZEDpRED,12,1,2
265,2010-07-22,9JoP0o8w,4,0,1
18415,2008-05-12,0j3L0L3r,4,0,2
25507,2008-10-06,0ZEDpRED,13,1,4
699,2011-02-24,9JoP0o8w,3,0,0
22882,2010-06-11,6K3lLe3z,6,0,0
19316,2011-09-02,WeEeDrOa,3,0,0
5044,2010-04-06,rJoQRlOV,18,1,8
3332,2010-04-20,WeEe0dOa,9,0,0
1788,2011-10-13,njoZqQ3r,1,0,0
15557,2012-12-30,NbE1Ja3J,0,0,0
28154,2011-11-14,6Wo2W8O9,0,0,0
26529,2010-08-26,0ZEDpRED,7,0,0
13736,2012-07-19,1m3MyD3B,1,0,0
9590,2011-10-05,NbE1lzOJ,0,0,2
9257,2013-03-20,ekE4w0O2,0,0,0
10562,2013-10-28,rNo6NKo6,4,0,2
5879,2012-04-20,ydEjw23W,22,2,5
27085,2008-06-03,we39w9Ok,13,1,6
10101,2009-08-20,6Wo2r6o9,2,0,0
4768,2010-01-25,Y1EmVJ3w,7,1,1
5357,2012-12-07,eVOBNMOj,2,0,0
22003,2007-10-22,rJoQX03V,4,0,0
10915,2012-07-11,V4305oBp,4,1,1
13695,2009-10-19,wmo7mPEq,0,0,1
19165,2009-12-29,we39dvEk,0,0,0
28394,2007-05-31,eVOBjkOj,6,0,0
15325,2010-09-17,1JEbKN3R,7,1,1
18832,2010-08-09,njoZl1Er,0,0,0
30224,2011-12-29,0ZED543D,0,0,1
13012,2013-11-21,8gOqGA32,0,0,0
86,2011-07-12,XJ3rpQOR,4,0,1
23304,2011-11-15,VpoGnr3r,3,1,5
16189,2014-05-07,m0oWnR3G,2,0,0
3757,2011-08-24,ydEjrDEW,1,0,2
19169,2008-05-23,B1oXWb3V,2,1,0
18516,2009-08-21,WwOaMdOB,2,0,0
18066,2009-07-14,geEV85oz,1,0,1
17236,2012-06-19,WeEe7eoa,7,0,3
5893,2008-02-14,we39KlOk,0,0,1
24049,2011-10-13,6VOpNb3L,7,0,6
14294,2008-07-22,6K3l6vOz,2,0,0
3795,2009-01-14,WwOaaNOB,1,0,3
16203,2008-12-23,0j3LvDOr,6,0,0
25117,2009-06-12,njoZ0YEr,6,0,0
15095,2011-10-20,0ZEDWxOD,6,0,1
3423,2012-12-12,rNo6NKo6,2,0,0
30588,2009-03-04,0ZEDL8ED,4,1,0
25755,2015-02-05,eVOBX13j,0,0,1
9226,2012-10-31,Y1Emv93w,5,0,0
13083,2011-07-11,Pk3wdDod,2,0,1
31332,2011-06-01,6Wo2xYE9,3,0,0
30177,2009-10-27,rNo6M636,7,1,1
28921,2012-12-30,qN3gAYOA,0,0,0
2187,2008-08-25,V430w7EB,6,1,0
15229,2008-02-04,WeEey6Ea,0,0,1
14753,2009-10-02,8xEx44E0,7,0,0
23914,2014-05-15,ydEja1OW,18,4,10
11548,2011-12-01,ydEjx9oW,7,0,1
21424,2013-12-18,6K3lz9Oz,5,0,8
27568,2010-01-22,6K3lLe3z,5,2,0
21479,2013-02-01,0ZED543D,0,0,1
6377,2013-10-08,6VOpvj3L,1,0,2
19902,2013-08-12,Pk3wVVEd,0,0,0
7825,2010-09-10,8gOqZeE2,0,0,1
1386,2007-06-22,1m3M0bEB,2,0,1
30713,2010-02-10,ekE4vNo2,1,0,1
23101,2012-12-30,we39Nvok,0,0,0
28615,2012-12-27,wmo77doq,10,0,0
11754,2012-02-27,1JEbzJER,5,0,0
7012,2010-09-16,WwOajNEB,3,0,0
28528,2012-01-25,V430WbEB,6,1,3
1711,2012-12-30,8gOqBME2,0,0,0
23038,2012-12-30,XJ3rnY3R,0,0,0
11073,2007-09-26,9JoPAZO8,9,1,4
6001,2008-03-24,0ZEDeW3D,0,0,0
12097,2008-04-09,ekE4y632,6,0,0
24023,2011-11-10,wmo7MQEq,0,0,2
14713,2014-03-25,wmo7Z73q,2,0,6
13295,2012-12-30,wmo7Z73q,0,0,0
5151,2014-03-05,rNo6Zqo6,0,0,0
13372,2012-12-30,xWoYMGoK,0,0,0
8932,2013-11-05,we39kZOk,16,2,1
25786,2014-01-30,1JEbd4oR,10,0,1
30618,2011-11-15,nkOvn7OB,3,0,0
11781,2008-07-28,rNo6xdE6,9,0,0
13161,2007-11-30,v5oJWyOB,7,2,5
12570,2012-11-13,B1oXrqEV,4,1,1
22241,2012-08-22,8x3z8bOk,14,0,4
8438,2008-11-26,B1oXBmEV,1,1,0
10725,2014-03-19,9JoPmqO8,3,0,1
28410,2007-10-15,njoZ6vor,9,1,4
11776,2012-03-30,B1oXYDOV,3,0,0
4321,2010-07-01,rNo6Bdo6,0,0,0
11201,2012-03-09,WwOa7d3B,12,1,4
6659,2011-10-07,V430yAoB,5,1,0
19032,2013-05-17,p038la3m,4,0,1
13613,2015-02-06,7RO5YrOq,1,0,1
19064,2012-11-13,we39W0Ok,3,0,0
12672,2007-08-02,ydEjp9oW,0,0,0
4279,2011-06-23,m0oWW2oG,0,0,0
5900,2013-03-15,JGoNZYoL,4,0,0
8590,2013-12-30,geEVmeOz,0,0,0
2490,2012-12-30,eVOBMwoj,0,0,0
18417,2008-04-11,lnORKGEN,14,1,0
21533,2008-01-29,8xExQV30,3,0,1
9928,2008-11-21,6Wo2jwo9,6,0,0
23617,2011-07-05,Pk3wwK3d,1,0,2
5353,2009-02-09,ZBEnNqEY,0,0,0
5634,2014-02-27,Y1Emwnow,10,0,1
20220,2012-01-06,eVOBKkEj,4,0,0
798,2010-11-22,dj3dkaE9,5,0,1
20489,2010-08-05,V430WbEB,4,0,4
23106,2010-02-12,6VOpvj3L,0,0,0
6741,2012-12-30,XJ3r7RoR,0,0,0
31862,2008-10-29,qN3gQ1OA,3,0,3
10592,2012-04-18,6K3lV9Oz,2,1,1
21758,2011-10-13,we39eN3k,0,0,0
30253,2012-02-10,rNo6Yg36,4,0,1
7780,2009-06-02,v5oJWyOB,1,1,0
24661,2013-03-25,8xExMJ30,4,0,2
19070,2013-03-28,8KoAmQo6,10,1,3
18215,2014-01-31,VpoGwQor,1,1,0
25541,2008-01-30,Y1EmvV3w,5,0,3
29754,2008-08-12,NbE1GYoJ,5,2,1
18871,2011-09-21,rJoQwlEV,0,0,0
18854,2010-05-04,6K3lb8Oz,4,0,0
21469,2009-08-12,8xEx2Bo0,3,1,0
28405,2010-11-04,ekE476O2,2,1,0
19024,2012-04-12,wmo7MQEq,3,0,2
15520,2010-04-14,rNo6e036,0,0,0
29082,2007-01-16,0ZEDXGED,0,0,0
25149,2013-05-28,V430RlOB,1,0,1
15180,2009-10-26,njoZKbOr,5,0,0
24514,2011-10-24,geEV2dEz,5,0,0
26135,2010-02-12,8xExpWE0,4,0,1
31243,2009-02-24,lnOR5eoN,4,0,0
28186,2008-05-07,eVOB61Oj,4,0,1
7391,2014-11-24,0ZEDMl3D,5,0,0
10740,2013-12-10,rJoQ1GoV,3,1,0
25934,2013-12-30,geEVw53z,0,0,0
10854,2012-07-19,1m3MaY3B,0,0,0
29374,2008-08-25,WeEeeVEa,1,0,1
5552,2008-05-16,8xExAW30,4,2,0
24946,2011-04-01,XJ3rXbOR,0,0,0
18380,2010-11-02,0ZEDnpoD,9,1,1
29742,2011-10-07,JGoNRBoL,1,0,2
4100,2008-01-07,ZBEnAqOY,5,0,0
19101,2011-07-21,N6OkxvEx,3,0,0
24535,2011-04-27,8xExKWO0,4,0,0
6103,2009-08-31,Y1Emn73w,8,1,1
7026,2010-11-19,NbE18OJ2,5,0,0
2276,2009-09-28,WwOaJNEB,2,0,1
31400,2009-02-17,njoZ0YEr,5,0,0
9185,2007-08-24,dj3dPN39,3,1,0
6250,2009-07-14,ZBEn6pEY,1,0,0
30420,2009-05-06,xWoYlA3K,7,0,1
27480,2009-05-29,m0oWlJOG,4,1,0
24782,2012-07-18,V43016oB,6,0,4
2204,2012-04-05,xWoYPr3K,16,1,5
19213,2010-05-04,xWoYPr3K,11,0,4
24302,2013-01-25,ZBEnXKoY,0,0,1
23901,2013-08-13,0ZED4ED9,1,0,0
26477,2014-10-28,9JoPaeO8,4,0,1
27951,2011-05-06,WwOaRzEB,0,0,0
25871,2011-08-10,8x3zYLEk,3,1,0
2996,2013-07-22,wmo7L7Oq,6,0,2
9452,2008-05-09,njoZ0YEr,2,0,1
24754,2013-12-30,9JoPaeO8,0,0,0
11055,2010-04-29,6Wo20NE9,4,0,0
20180,2010-10-21,rJoQLG3V,6,0,4
6713,2011-03-03,9JoPLvo8,0,0,0
2415,2014-03-17,ZBEnB2EY,6,1,3
30541,2012-06-07,VpoGKvor,3,1,1
20464,2011-04-19,8KoAzaO6,11,0,0
8888,2012-09-07,v5oJn1oB,9,1,1
24630,2012-08-21,Y1Emq9Ew,7,0,0
6151,2012-11-26,N6OkxvEx,10,0,3
12634,2010-11-15,p038M4om,5,1,0
2390,2013-12-23,v5oJQ13B,3,1,1
9443,2012-12-20,rNo6NKo6,2,0,0
4789,2010-07-09,7RO5KX3q,1,0,0
16945,2013-10-21,6VOp9aEL,5,0,3
25610,2008-12-04,6K3lj6Oz,3,0,0
22544,2015-03-09,ydEjp9oW,2,0,0
27299,2014-01-14,Pk3wmwOd,7,0,0
30653,2008-02-29,lnORQDoN,6,1,2
22566,2008-02-01,8KoAL536,6,0,0
1580,2012-12-30,0j3LGMEr,0,0,0
10070,2009-07-08,nkOvLx3B,0,0,0
12987,2009-02-20,0ZEDYk3D,8,0,0
24721,2011-05-16,njoZlyEr,2,0,0
13610,2011-03-16,ekE4grO2,3,0,0
21835,2010-12-29,WeEe7eoa,2,0,0
2039,2010-02-11,v5oJz1oB,3,0,1
11858,2012-12-30,8KoA15o6,0,0,0
7790,2010-01-08,dj3dX539,0,0,1
15732,2014-11-14,eVOBLr3j,0,0,1
24133,2010-08-09,Pk3wVVEd,3,0,0
28423,2011-08-11,Pk3wQ9Od,0,2,1
17344,2010-03-02,Pk3wQ9Od,2,0,0
25433,2013-12-30,wmo7Gdoq,0,0,0
29897,2010-06-11,geEVpBoz,5,1,0
21319,2010-05-18,geEVXYoz,8,1,0
7782,2009-03-10,6K3lYqoz,0,0,0
21556,2011-07-18,6K3lYqoz,1,1,1
22603,2011-02-08,ekE49L32,2,0,0
8086,2013-01-16,B1oX2QEV,2,0,0
20201,2013-02-11,1m3MGLOB,4,0,1
29837,2007-02-23,ydEjJeEW,0,0,0
9089,2014-04-02,WeEeKaoa,10,1,1
28284,2012-03-07,wmo7D7Oq,2,0,1
28011,2007-09-21,V430YloB,3,0,0
23753,2010-01-15,eVOBeeoj,4,1,0
3826,2014-10-23,WwOa0poB,8,1,2
8462,2011-03-15,B1oXw63V,1,0,1
16692,2011-04-28,0ZEDlBED,9,0,1
26621,2009-08-13,B1oX7l3V,13,2,0
31258,2011-11-21,1m3M0bEB,0,0,0
22892,2014-12-12,6VOpdlOL,11,1,3
3264,2011-10-24,8x3zRN3k,12,1,7
16064,2009-02-02,8gOqxro2,0,0,0
2063,2008-02-06,njoZeb3r,0,0,0
24617,2015-03-18,XJ3rgRoR,4,1,0
26913,2013-01-22,geEVBEzy,2,1,0
19088,2012-10-09,geEVmeOz,2,1,0
10388,2010-11-12,JBEyDVO8,5,0,1
17218,2012-05-01,qN3gvnEA,4,0,0
9087,2013-05-08,qN3gjQEA,3,0,0
27035,2014-04-30,1m3MMY3B,2,0,1
24532,2007-12-03,8xExqB30,3,0,0
30733,2008-06-03,7RO5d6oq,7,0,2
27281,2014-09-02,ydEjvBEW,7,0,1
20277,2007-08-06,lnOR5eoN,11,1,3
7217,2008-02-26,8x3z99Ek,5,1,1
19971,2012-12-30,wmo7ldOq,0,0,0
540,2013-01-11,1m3MNpoB,0,0,0
24540,2011-12-28,Pk3wN9Ed,0,0,0
23974,2012-02-22,B1oXvlEV,2,0,1
30399,2012-12-30,p03824Om,0,0,0
13673,2011-10-19,nkOvKLEB,5,0,0
2422,2013-12-30,ydEjeeOW,0,0,0
3096,2011-06-02,rJoQNaOV,4,1,1
5959,2011-02-10,1JEbJmER,4,0,1
19802,2009-05-22,v5oJKbOB,5,0,0
7735,2010-12-14,njoZqX3r,4,0,0
4574,2014-02-18,8xExMJ30,7,3,1
10600,2009-10-19,0j3LVqOr,1,0,1
24665,2008-07-11,wmo7Wjoq,2,0,0
26937,2009-01-15,8x3z6Y3k,10,0,3
4730,2010-01-12,dj3d7aE9,10,2,11
21729,2012-12-30,m0oW02OG,0,0,0
24994,2012-12-30,JGoNk8OL,0,0,0
25319,2010-03-19,8gOqM0O2,2,0,0
27712,2014-05-16,1JEbJmER,10,2,1
18917,2009-08-10,JGoNZYoL,10,2,0
3127,2008-01-11,JBEybN38,2,1,0
23872,2011-11-01,nkOvn7OB,17,1,9
2200,2011-09-13,njoZ0YEr,1,1,1
24448,2009-11-12,8x3zyzEk,2,0,0
16864,2013-10-21,7RO5A6Oq,1,2,1
31752,2011-02-01,Y1EmJV3w,0,0,0
10336,2013-05-28,N6OkjVox,6,0,3
31181,2015-03-11,wmo7ldOq,8,0,3
28807,2008-01-11,rNo6p0E6,6,1,2
1421,2008-02-28,B1oXAYOV,5,0,0
20740,2009-04-23,NbE1YaEJ,17,0,5
19368,2013-05-21,1JEbBNER,7,0,1
24127,2011-12-01,N6OkVvox,4,1,3
11418,2009-05-27,8KoAPa36,2,0,0
19173,2013-03-14,8x3zx7Ok,4,0,3
5383,2014-05-27,m0oW02OG,11,0,5
11943,2008-03-21,geEVveEz,9,1,2
6442,2009-01-06,WeEeRe3a,1,0,0
1122,2010-11-01,WwOadoBM,6,0,0
27095,2012-08-27,B1oXw63V,2,0,0
21663,2013-12-30,JBEy0aO8,0,0,0
31994,2009-11-23,dj3dkXE9,4,1,1
13326,2013-03-15,ZBEnkv3Y,7,1,5
28409,2013-03-08,eVOB76Ej,8,1,1
24965,2010-05-20,ydEjz7EW,5,0,1
11258,2014-05-20,Y1EmjR3w,3,0,0
26482,2012-12-14,N6OkjVox,6,0,5
16429,2009-10-22,xWoYavoK,6,0,0
25389,2009-02-26,xWoY4d3K,3,0,0
11095,2009-01-02,8gOqDo2L,0,0,0
20744,2009-02-19,v5oJroBL,12,2,2
9938,2013-09-25,JBEyPXO8,2,0,1
11881,2009-12-02,0ZEDQG3D,6,0,3
25018,2010-07-27,p038eGom,0,0,2
9811,2009-08-03,Pk3waKOd,6,0,0
13137,2012-06-22,m0oWvJ3G,0,0,0
18997,2009-04-06,6Wo2XwE9,0,0,0
6496,2009-08-27,lnORzeON,2,0,0
27013,2012-12-30,JGoNxaEL,0,0,0
15600,2012-04-02,JBEy7ao8,0,0,2
19903,2010-06-25,lnOR0G3N,3,0,0
9002,2014-08-20,ZBEnzYEY,3,1,1
11167,2008-12-17,we39KlOk,0,0,0
28118,2012-02-06,ekE4K6O2,6,0,1
23987,2007-06-27,JGoNjgoL,0,0,0
1006,2014-03-20,1m3MyD3B,4,0,1
24036,2008-09-04,JBEyDVO8,8,1,2
20413,2011-06-13,9JoP2qE8,8,1,0
16253,2012-12-30,6K3l0e3z,0,0,0
29645,2008-08-05,we39dvEk,6,0,0
31553,2013-12-30,qN3gmJOA,0,0,0
23393,2012-07-18,N6OknGox,3,0,0
31204,2012-07-19,p038Xv3m,4,0,0
6834,2007-07-27,8KoAZaO6,14,1,2
8145,2015-01-30,Y1EmdlOw,6,2,7
2280,2010-12-03,wmo7R3qn,4,0,0
23843,2013-06-24,8KoAN6O6,14,0,7
24978,2008-12-10,XJ3remER,7,1,1
8282,2013-09-18,6VOpqqEL,5,1,0
17196,2008-12-11,N6OknGox,0,0,0
13787,2013-12-27,1m3MxLEB,1,1,0
31585,2008-03-13,8x3zeREk,4,0,0
5285,2008-09-17,NbE12N3J,1,0,0
4073,2015-02-24,p038zzOm,9,2,0
31014,2008-06-20,6K3lygoz,2,1,2
28775,2015-02-06,1m3Mj9oB,15,1,4
